Date,Price,Open,High,Low
2021-07-20,279.3200,278.0300,280.9700,276.2600
2021-07-21,281.4000,278.9000,281.5200,277.2900
2021-07-22,286.1400,283.8400,286.4200,283.4200
2021-07-23,289.6700,287.3700,289.9900,286.5000
2021-07-26,289.0500,289.0000,289.6900,286.6400
2021-07-27,286.5400,289.4300,289.5800,282.9500
2021-07-28,286.2200,288.9900,290.1500,283.8300
2021-07-29,286.5000,286.2400,288.6200,286.0800
2021-07-30,284.9100,285.1700,286.6600,283.9100
2021-08-02,284.8200,286.3600,286.7700,283.7400
2021-08-03,287.1200,285.4200,287.2300,284.0000
2021-08-04,286.5100,286.2200,287.5900,284.6500
2021-08-05,289.5200,286.8800,289.6300,286.1000
2021-08-06,289.4600,288.5100,289.5000,287.6200
2021-08-09,288.3300,289.7500,291.5500,287.8100
2021-08-10,286.4400,288.8000,289.2500,285.2000
2021-08-11,286.9500,287.2100,288.6600,285.8600
2021-08-12,289.8100,286.6300,289.9700,286.3400
2021-08-13,292.8500,289.4800,292.9000,289.3000
2021-08-16,294.6000,293.1900,294.8200,290.0200
2021-08-17,293.0800,292.3900,293.4300,291.0800
2021-08-18,290.7300,292.0400,294.8200,290.2700
2021-08-19,296.7700,288.6900,297.4700,288.6400
2021-08-20,304.3600,299.7200,305.8400,298.0600
2021-08-23,304.6500,303.2500,305.4000,301.8500
2021-08-24,302.6200,305.0200,305.6500,302.0000
2021-08-25,302.0100,304.3000,304.5900,300.4200
2021-08-26,299.0900,300.9900,302.4300,298.9500
2021-08-27,299.7200,298.9900,300.8700,296.8300
2021-08-30,303.5900,301.1200,304.2200,301.0600
2021-08-31,301.8800,304.4200,304.5000,301.5000
2021-09-01,301.8300,302.8700,305.1900,301.4900
2021-09-02,301.1500,302.2000,303.3600,300.1800
2021-09-03,301.1400,300.9900,302.6000,300.2600
2021-09-07,300.1800,301.0100,301.0900,298.2000
2021-09-08,300.2100,299.7800,300.6100,297.4700
2021-09-09,297.2500,300.8200,302.1400,297.0000
2021-09-10,295.7100,298.4200,299.9200,295.3800
2021-09-13,296.9900,297.5500,298.5400,294.0800
2021-09-14,299.7900,299.5600,301.3900,298.1000
2021-09-15,304.8200,303.2600,305.3200,301.8200
2021-09-16,305.2200,303.7600,305.3100,300.7600
2021-09-17,299.8700,304.1700,304.5000,299.5300
2021-09-20,294.3000,296.3300,298.7200,289.5200
2021-09-21,294.8000,295.6900,297.5400,294.0700
2021-09-22,298.5800,296.7300,300.2200,294.5100
2021-09-23,299.5600,298.8500,300.9000,297.5300
2021-09-24,299.3500,298.2300,299.8000,296.9300
2021-09-27,294.1700,296.1400,296.4700,292.9400
2021-09-28,283.5200,289.8000,290.7800,282.7500
2021-09-29,284.0000,285.1000,286.7700,283.0100
2021-09-30,281.9200,285.7100,287.8300,281.6200
2021-10-01,289.1000,282.1200,289.9800,281.2900
2021-10-04,283.1100,287.4000,287.7500,280.2500
2021-10-05,288.7600,284.0500,290.4000,284.0500
2021-10-06,293.1100,285.7800,293.6300,285.5100
2021-10-07,294.8500,295.1800,296.6400,293.9200
2021-10-08,294.8500,296.2200,296.6400,293.7600
2021-10-11,294.2300,292.9200,297.9700,292.7500
2021-10-12,292.8800,295.3400,295.4400,292.3500
2021-10-13,296.3100,294.9100,297.2800,293.4900
2021-10-14,302.7500,299.2100,303.2700,297.8300
2021-10-15,304.2100,302.3400,304.4500,300.5200
2021-10-18,307.2900,303.5700,308.2100,302.6900
2021-10-19,308.2300,308.3500,309.3000,307.2200
2021-10-20,307.4100,309.2100,309.7000,306.1100
2021-10-21,310.7600,307.1700,311.0200,306.3600
2021-10-22,309.1600,310.4000,311.0900,307.8000
2021-10-25,308.1300,309.3600,309.4000,306.4600
2021-10-26,310.1100,311.0000,312.4000,308.6000
2021-10-27,323.1700,316.0000,326.1000,316.0000
2021-10-28,324.3500,324.3300,324.8700,321.3600
2021-10-29,331.6200,324.1300,332.0000,323.9000
2021-11-01,329.3700,331.3600,331.4900,326.3700
2021-11-02,333.1300,330.3100,333.4500,330.0000
2021-11-03,334.0000,333.9000,334.9000,330.6500
2021-11-04,336.4400,332.8900,336.5400,329.5100
2021-11-05,336.0600,338.5100,338.7900,334.4200
2021-11-08,336.9900,337.3000,337.6500,334.4400
2021-11-09,335.9500,337.1100,338.7200,334.5300
2021-11-10,330.8000,334.5700,334.6300,329.9200
2021-11-11,332.4300,331.2500,333.7700,330.5100
2021-11-12,336.7200,333.9200,337.2300,333.7900
2021-11-15,336.0700,337.5400,337.8800,334.0300
2021-11-16,339.5100,335.6800,340.6700,335.5100
2021-11-17,339.1200,338.9400,342.1900,338.0000
2021-11-18,341.2700,338.1800,342.4500,337.1200
2021-11-19,343.1100,342.6400,345.1000,342.2000
2021-11-22,339.8300,344.6200,349.6700,339.5500
2021-11-23,337.6800,337.0500,339.4500,333.5600
2021-11-24,337.9100,336.2800,338.1600,333.9100
2021-11-26,329.6800,334.3500,337.9300,328.1200
2021-11-29,336.6300,334.9400,339.0300,334.7400
2021-11-30,330.5900,335.3200,337.7800,328.9900
2021-12-01,330.0800,335.1300,339.2800,329.3900
2021-12-02,329.4900,330.3000,333.4900,327.8000
2021-12-03,323.0100,331.9900,332.7000,318.0300
2021-12-06,326.1900,323.9500,327.4500,319.2300
2021-12-07,334.9200,331.6400,335.8000,330.1000
2021-12-08,334.9700,335.3100,335.5000,330.8000
2021-12-09,333.1000,334.4100,336.4900,332.1200
2021-12-10,342.5400,334.9800,343.0000,334.7900
2021-12-13,339.4000,340.6800,343.7900,339.0800
2021-12-14,328.3400,333.2200,334.6400,324.1100
2021-12-15,334.6500,328.6100,335.1900,324.5000
2021-12-16,324.9000,335.7100,336.7600,323.0200
2021-12-17,323.8000,320.8800,324.9200,317.2500
2021-12-20,319.9100,320.0500,322.8000,317.5700
2021-12-21,327.2900,323.2900,327.7300,319.8000
2021-12-22,333.2000,328.3000,333.6100,325.7500
2021-12-23,334.6900,332.7500,336.3900,332.7300
2021-12-27,342.4500,335.4600,342.4800,335.4300
2021-12-28,341.2500,343.1500,343.8100,340.3200
2021-12-29,341.9500,341.3000,344.3000,339.6800
2021-12-30,339.3200,341.9100,343.1300,338.8200
2021-12-31,336.3200,338.5100,339.3600,335.8500
2022-01-03,334.7500,335.3500,338.0000,329.7800
2022-01-04,329.0100,334.8300,335.2000,326.1200
2022-01-05,316.3800,325.8600,326.0700,315.9800
2022-01-06,313.8800,313.1500,318.7000,311.4900
2022-01-07,314.0400,314.1500,316.5000,310.0900
2022-01-10,314.2700,309.4900,314.7200,304.6900
2022-01-11,314.9800,313.3800,316.6100,309.8900
2022-01-12,318.2700,319.6700,323.4100,317.0800
2022-01-13,304.8000,320.4700,320.8800,304.0000
2022-01-14,310.2000,304.2500,310.8200,303.7500
2022-01-18,302.6500,304.0700,309.8000,301.7400
2022-01-19,303.3300,306.2900,313.9100,302.7000
2022-01-20,301.6000,309.0700,311.6500,301.1400
2022-01-21,296.0300,302.6900,304.1100,295.6100
2022-01-24,296.3700,292.2000,297.1100,276.0500
2022-01-25,288.4900,291.5200,294.9900,285.1700
2022-01-26,296.7100,307.9900,308.5000,293.0300
2022-01-27,299.8400,302.6600,307.3000,297.9300
2022-01-28,308.2600,300.2300,308.4800,294.4500
2022-01-31,310.9800,308.9500,312.3800,306.3700
2022-02-01,308.7600,310.4100,310.6300,305.1300
2022-02-02,313.4600,309.6300,315.1200,308.8800
2022-02-03,301.2500,309.4900,311.2300,299.9600
2022-02-04,305.9400,300.2100,308.8000,299.9700
2022-02-07,300.9500,306.1700,307.8400,299.9000
2022-02-08,304.5600,301.2500,305.5600,299.9500
2022-02-09,311.2100,309.8700,311.9300,307.3900
2022-02-10,302.3800,304.0400,309.1200,300.7000
2022-02-11,295.0400,303.1900,304.2900,294.2200
2022-02-14,295.0000,293.7700,296.7600,291.3500
2022-02-15,300.4700,300.0100,300.8000,297.0200
2022-02-16,299.5000,298.3700,300.8700,293.6800
2022-02-17,290.7300,296.3600,296.8000,290.0000
2022-02-18,287.9300,293.0500,293.8600,286.3100
2022-02-22,287.7200,285.0000,291.5400,284.5000
2022-02-23,280.2700,290.1800,291.7000,280.1000
2022-02-24,294.5900,272.5100,295.1600,271.5200
2022-02-25,297.3100,295.1400,297.6300,291.6500
2022-02-28,298.7900,294.3100,299.1400,293.0000
2022-03-01,294.9500,296.4000,299.9700,292.1500
2022-03-02,300.1900,295.3600,301.4700,293.7000
2022-03-03,295.9200,302.8900,303.1300,294.0500
2022-03-04,289.8600,294.2900,295.6600,287.1700
2022-03-07,278.9100,288.5300,289.6900,278.5300
2022-03-08,275.8500,277.8000,283.9600,270.0000
2022-03-09,288.5000,283.4400,289.6000,280.7800
